No errors
No warnings
34 ms
data source=aircraftreports
1172 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2021-08-05T06:21:53Z,2021-08-05T06:17:00Z,,,,,,,THY181,58.3833,-48.5,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,328,73,,AIREP,ARP THY181 5823N 04830W 0617 F360 M54 328/73 5801N 05001W 0624 CUDDY KT TCLLJ QXS UAK 050617 L95A,
2021-08-05T06:21:53Z,2021-08-05T06:17:00Z,,,,,,,LOT4NL,57.8167,-60.6167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,274,70,,AIREP,ARP LOT4NL 5749N 06037W 0617 F390 M60 274/70 5802N 05956W 0620 URTAK KT SPLSG DDL YHO 050617 L47A,
2021-08-05T06:21:55Z,2021-08-05T06:17:00Z,,,,,,,UPS204,57.0667,-27.65,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-55,256,36,,AIREP,ARP UPS204 5704N 02739W 0617 F340 M55 256/36 5700N 03000W 0628 5600N 04000W KT N621UP QXT EUA 050617 F63A,
2021-08-05T06:21:46Z,2021-08-05T06:17:00Z,,,,,,,AFR083,54.8167,-29.0333,37000,,,,,,,,,,,,,,,,,,,,,,,,,,,-42,271,37,,AIREP,ARP AFR083 5449N 02902W 0617 F370 M42 271/37 5258N 02001W 0656 5158N 01501W KT FGSQG QXT EUA 050617 F64A,
2021-08-05T06:21:46Z,2021-08-05T06:17:00Z,,,,,,,SWR9K,50.05,-21.3,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-46,278,139,,AIREP,ARP SWR9K 5003N 02118W 0617 F350 M46 278/139 5000N 02000W 0621 SOMAX KT HBJNK DDL XXH 050617 F57A,
2021-08-05T06:21:46Z,2021-08-05T06:17:00Z,,,,,,,AFR377,48.8667,-21.9833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,278,147,,AIREP,ARP AFR377 4852N 02159W 0617 F380 M51 278/147 4900N 02000W 0625 BEDRA KT FHRBJ QXT AME 050617 L68A,
2021-08-05T06:21:55Z,2021-08-05T06:17:00Z,,,,,,,THY6434,48.65,-34.65,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,270,142,,AIREP,ARP THY6434 4839N 03439W 0617 F350 M47 270/142 4900N 03000W 0635 4900N 02000W KT TCLJS QXT AME 050618 F30A,
2021-08-05T06:21:46Z,2021-08-05T06:17:00Z,,,,,,,UAE206,48.5167,-35.9833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-51,264,140,,AIREP,ARP UAE206 4831N 03559W 0617 F380 M51 264/140 4900N 03000W 0640 4900N 02000W KT A6EGF DDL XXH 050617 F41A,
2021-08-05T06:21:46Z,2021-08-05T06:17:00Z,,,,,,,AAL86,47.1,-25.7,40000,,,,,,,,,,,,,,,,,,,,,,,,,,,-58,273,118,,AIREP,ARP AAL86 4706N 02542W 0617 F400 M58 273/118 4700N 02000W 0641 BEDRA KT N825AA DDL XXN 050617 L45A,
2021-08-05T06:21:53Z,2021-08-05T06:17:00Z,,,,,,,DAL32,46.5167,-25.85,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,274,104,,AIREP,ARP DAL32 4631N 02551W 0617 F390 M57 274/104 4659N 02000W 0643 4859N 01500W KT N831NW DDL IG1 050618 J69A,
2021-08-05T06:21:53Z,2021-08-05T06:17:00Z,,,,,,,UAE583,20.8333,72.5833,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-44,103,32,,AIREP,ARP UAE583 2050N 07235E 0617 F380 M44 103/32,
2021-08-05T06:21:46Z,2021-08-05T06:16:00Z,,,,,,,LOT46,57.8333,-57.0167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-59,281,64,,AIREP,ARP LOT46 5750N 05701W 0616 F390 M59 281/64 6000N 05000W 0646 6200N 04000W KT SPLSC DDL YHO 050616 L53A,
2021-08-05T06:21:46Z,2021-08-05T06:16:00Z,,,,,,,FIN16,54.55,-45.35,43000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,304,50,,AIREP,ARP FIN16 5433N 04521W 0616 F430 M47 304/50 5600N 04000W 0640 5800N 03000W KT OHLWF DDL XXH 050616 J94A,
